Value Synonym	Value ID	
"1"	"1"	
"1001"	"1001"	
"2001"	"2001"	
"5001"	"5001"	
"100133"	"100133"	
"100341"	"100341"	
"100549"	"100549"	
"100757"	"100757"	
"100965"	"100965"	
"101173"	"101173"	
"7001"	"7001"	
"10001"	"10001"	
"11001"	"11001"	
"9001"	"9001"	
"12001"	"12001"	
"8001"	"8001"	
"6001"	"6001"	
"101388"	"101388"	
"2"	"2"	
"1002"	"1002"	
"2002"	"2002"	
"5002"	"5002"	
"100134"	"100134"	
"100342"	"100342"	
"100550"	"100550"	
"100758"	"100758"	
"100966"	"100966"	
"101174"	"101174"	
"7002"	"7002"	
"10002"	"10002"	
"11002"	"11002"	
"9002"	"9002"	
"4032"	"4032"	
"12002"	"12002"	
"8002"	"8002"	
"6002"	"6002"	
"101389"	"101389"	
"3"	"3"	
"1003"	"1003"	
"2003"	"2003"	
"5003"	"5003"	
"100135"	"100135"	
"100343"	"100343"	
"100551"	"100551"	
"100759"	"100759"	
"100967"	"100967"	
"101175"	"101175"	
"7003"	"7003"	
"10003"	"10003"	
"11003"	"11003"	
"9003"	"9003"	
"12003"	"12003"	
"8003"	"8003"	
"6003"	"6003"	
"101390"	"101390"	
"4"	"4"	
"1004"	"1004"	
"2004"	"2004"	
"5004"	"5004"	
"100136"	"100136"	
"100344"	"100344"	
"100552"	"100552"	
"100760"	"100760"	
"100968"	"100968"	
"101176"	"101176"	
"7004"	"7004"	
"10004"	"10004"	
"11004"	"11004"	
"9004"	"9004"	
"12004"	"12004"	
"8004"	"8004"	
"6004"	"6004"	
"101391"	"101391"	
"5"	"5"	
"1005"	"1005"	
"2005"	"2005"	
"5005"	"5005"	
"100137"	"100137"	
"100345"	"100345"	
"100553"	"100553"	
"100761"	"100761"	
"100969"	"100969"	
"101177"	"101177"	
"7005"	"7005"	
"10005"	"10005"	
"11005"	"11005"	
"9005"	"9005"	
"12005"	"12005"	
"8005"	"8005"	
"6005"	"6005"	
"101392"	"101392"	
"100022"	"100022"	
"100031"	"100031"	
"100032"	"100032"	
"100033"	"100033"	
"100138"	"100138"	
"100346"	"100346"	
"100554"	"100554"	
"100762"	"100762"	
"100970"	"100970"	
"101178"	"101178"	
"100034"	"100034"	
"100035"	"100035"	
"100036"	"100036"	
"100037"	"100037"	
"100038"	"100038"	
"100039"	"100039"	
"100040"	"100040"	
"101393"	"101393"	
"6"	"6"	
"1006"	"1006"	
"2006"	"2006"	
"5006"	"5006"	
"100139"	"100139"	
"100347"	"100347"	
"100555"	"100555"	
"100763"	"100763"	
"100971"	"100971"	
"101179"	"101179"	
"7006"	"7006"	
"10006"	"10006"	
"11006"	"11006"	
"9006"	"9006"	
"12006"	"12006"	
"8006"	"8006"	
"6006"	"6006"	
"101394"	"101394"	
"7"	"7"	
"2007"	"2007"	
"1007"	"1007"	
"5007"	"5007"	
"100140"	"100140"	
"100348"	"100348"	
"100556"	"100556"	
"100764"	"100764"	
"100972"	"100972"	
"101180"	"101180"	
"7007"	"7007"	
"10007"	"10007"	
"11007"	"11007"	
