Value Synonym	Value ID	
"100"	"100"	
"104"	"104"	
"102"	"102"	
"10000"	"10000"	
"10001"	"10001"	
"101"	"101"	
"105"	"105"	
"197"	"197"	
"198"	"198"	
"199"	"199"	
"500"	"500"	
"504"	"504"	
"502"	"502"	
"10002"	"10002"	
"501"	"501"	
"505"	"505"	
"597"	"597"	
"598"	"598"	
"599"	"599"	
"400"	"400"	
"10003"	"10003"	
"401"	"401"	
"405"	"405"	
"497"	"497"	
"498"	"498"	
"499"	"499"	
"200"	"200"	
"204"	"204"	
"202"	"202"	
"10004"	"10004"	
"201"	"201"	
"205"	"205"	
"297"	"297"	
"298"	"298"	
"299"	"299"	
"300"	"300"	
"304"	"304"	
"302"	"302"	
"301"	"301"	
"305"	"305"	
"397"	"397"	
"398"	"398"	
"399"	"399"	
"600"	"600"	
"604"	"604"	
"602"	"602"	
"601"	"601"	
"605"	"605"	
"697"	"697"	
"698"	"698"	
"699"	"699"	
"9700"	"9700"	
"9800"	"9800"	
"9804"	"9804"	
"9802"	"9802"	
"9801"	"9801"	
"9805"	"9805"	
"9897"	"9897"	
"9898"	"9898"	
"9899"	"9899"	
"9900"	"9900"	
"9904"	"9904"	
"9902"	"9902"	
"9901"	"9901"	
"9905"	"9905"	
"9997"	"9997"	
"9998"	"9998"	
"9999"	"9999"	
