Value Synonym	Value ID	
"11000000"	"11000000"	
"100000219"	"100000219"	
"100000220"	"100000220"	
"100000221"	"100000221"	
"100000222"	"100000222"	
"100000223"	"100000223"	
"11070000"	"11070000"	
"11071000"	"11071000"	
"11072000"	"11072000"	
"11080000"	"11080000"	
"11081000"	"11081000"	
"11082000"	"11082000"	
"11090000"	"11090000"	
"11091000"	"11091000"	
"11130100"	"11130100"	
"11092000"	"11092000"	
"100000181"	"100000181"	
"100000182"	"100000182"	
"11100000"	"11100000"	
"11101000"	"11101000"	
"11102000"	"11102000"	
"11103000"	"11103000"	
"11110000"	"11110000"	
"11111000"	"11111000"	
"11112000"	"11112000"	
"11113000"	"11113000"	
"11120000"	"11120000"	
"11121000"	"11121000"	
"11122000"	"11122000"	
"11123000"	"11123000"	
"11124000"	"11124000"	
"11140000"	"11140000"	
"11141000"	"11141000"	
"11142000"	"11142000"	
"11143000"	"11143000"	
"11149700"	"11149700"	
"11180000"	"11180000"	
"11181000"	"11181000"	
"11182000"	"11182000"	
"11189700"	"11189700"	
"100000224"	"100000224"	
"11210000"	"11210000"	
"11211000"	"11211000"	
"11212000"	"11212000"	
"11211100"	"11211100"	
"11212100"	"11212100"	
"11212001"	"11212001"	
"11213000"	"11213000"	
"11213100"	"11213100"	
"11213101"	"11213101"	
"11213105"	"11213105"	
"11213200"	"11213200"	
"11213300"	"11213300"	
"11213400"	"11213400"	
"11214000"	"11214000"	
"11215000"	"11215000"	
"100000217"	"100000217"	
"11216000"	"11216000"	
"11216100"	"11216100"	
"11216101"	"11216101"	
"11216200"	"11216200"	
"11216300"	"11216300"	
"11217000"	"11217000"	
"11219700"	"11219700"	
"11220000"	"11220000"	
"100000186"	"100000186"	
"100000187"	"100000187"	
"100000244"	"100000244"	
"11221000"	"11221000"	
"11221100"	"11221100"	
"11221200"	"11221200"	
"11221300"	"11221300"	
"11221400"	"11221400"	
"11221500"	"11221500"	
"11221600"	"11221600"	
"11221014"	"11221014"	
"11221010"	"11221010"	
"11221001"	"11221001"	
"11222000"	"11222000"	
"11223000"	"11223000"	
"100000188"	"100000188"	
"11224000"	"11224000"	
"11225000"	"11225000"	
"11221700"	"11221700"	
"11229700"	"11229700"	
"11230000"	"11230000"	
"11231000"	"11231000"	
"100000054"	"100000054"	
"11231100"	"11231100"	
"11231200"	"11231200"	
"11231500"	"11231500"	
"11231600"	"11231600"	
"100000225"	"100000225"	
"11232000"	"11232000"	
"11232100"	"11232100"	
"11233000"	"11233000"	
"11234000"	"11234000"	
"11235000"	"11235000"	
"100000258"	"100000258"	
"11235003"	"11235003"	
"11235002"	"11235002"	
"11235001"	"11235001"	
"11236000"	"11236000"	
"11237000"	"11237000"	
"11237001"	"11237001"	
"11237003"	"11237003"	
"11237005"	"11237005"	
"11238000"	"11238000"	
"11239700"	"11239700"	
"100000016"	"100000016"	
"11240000"	"11240000"	
"11241000"	"11241000"	
"11241007"	"11241007"	
"11241008"	"11241008"	
"11241001"	"11241001"	
"11241100"	"11241100"	
"11242000"	"11242000"	
