Value Synonym	Value ID	
"10000"	"10000"	
"10100"	"10100"	
"10101"	"10101"	
"10102"	"10102"	
"990899"	"990899"	
"10103"	"10103"	
"10104"	"10104"	
"10198"	"10198"	
"990921"	"990921"	
"10200"	"10200"	
"10201"	"10201"	
"990825"	"990825"	
"990826"	"990826"	
"990827"	"990827"	
"990828"	"990828"	
"990914"	"990914"	
"10202"	"10202"	
"990829"	"990829"	
"990830"	"990830"	
"990831"	"990831"	
"990832"	"990832"	
"990833"	"990833"	
"10298"	"10298"	
"10300"	"10300"	
"10301"	"10301"	
"10303"	"10303"	
"10302"	"10302"	
"10304"	"10304"	
"10305"	"10305"	
"10306"	"10306"	
"10398"	"10398"	
"10400"	"10400"	
"10401"	"10401"	
"10402"	"10402"	
"10403"	"10403"	
"10404"	"10404"	
"10405"	"10405"	
"10406"	"10406"	
"10407"	"10407"	
"10498"	"10498"	
"10500"	"10500"	
"10501"	"10501"	
"10502"	"10502"	
"10503"	"10503"	
"10504"	"10504"	
"10598"	"10598"	
"10600"	"10600"	
"10611"	"10611"	
"10601"	"10601"	
"10602"	"10602"	
"10603"	"10603"	
"10604"	"10604"	
"10605"	"10605"	
"990898"	"990898"	
"10606"	"10606"	
"10607"	"10607"	
"10608"	"10608"	
"10609"	"10609"	
"10610"	"10610"	
"10698"	"10698"	
"10700"	"10700"	
"10701"	"10701"	
"10702"	"10702"	
"990918"	"990918"	
"10708"	"10708"	
"990920"	"990920"	
"10703"	"10703"	
"10706"	"10706"	
"10798"	"10798"	
"10800"	"10800"	
"19900"	"19900"	
"990824"	"990824"	
"990835"	"990835"	
"990844"	"990844"	
"990845"	"990845"	
"990847"	"990847"	
"990846"	"990846"	
"10105"	"10105"	
"990848"	"990848"	
"990922"	"990922"	
"990836"	"990836"	
"990849"	"990849"	
"990850"	"990850"	
"990851"	"990851"	
"990852"	"990852"	
"10203"	"10203"	
"990853"	"990853"	
"990837"	"990837"	
"990854"	"990854"	
"10307"	"10307"	
"990860"	"990860"	
"990856"	"990856"	
"990855"	"990855"	
"990857"	"990857"	
"990858"	"990858"	
"990859"	"990859"	
"990861"	"990861"	
"990862"	"990862"	
"990838"	"990838"	
"990863"	"990863"	
"990864"	"990864"	
"990865"	"990865"	
"990866"	"990866"	
"990867"	"990867"	
"990868"	"990868"	
"990869"	"990869"	
"990870"	"990870"	
"990871"	"990871"	
"990839"	"990839"	
"990872"	"990872"	
"990873"	"990873"	
"990874"	"990874"	
"990875"	"990875"	
"990877"	"990877"	
"10507"	"10507"	
"990876"	"990876"	
"990878"	"990878"	
"990879"	"990879"	
"10509"	"10509"	
"10508"	"10508"	
"990880"	"990880"	
"990840"	"990840"	
"990881"	"990881"	
"990882"	"990882"	
"990883"	"990883"	
"990884"	"990884"	
"990885"	"990885"	
"990886"	"990886"	
"990887"	"990887"	
"990915"	"990915"	
"990888"	"990888"	
"990889"	"990889"	
"990890"	"990890"	
"990891"	"990891"	
"990892"	"990892"	
"990893"	"990893"	
"990894"	"990894"	
"990841"	"990841"	
"10709"	"10709"	
"990895"	"990895"	
"10707"	"10707"	
"10704"	"10704"	
"10705"	"10705"	
"990896"	"990896"	
"990897"	"990897"	
"990901"	"990901"	
"990842"	"990842"	
"990843"	"990843"	
"30000"	"30000"	
"30100"	"30100"	
"30101"	"30101"	
"30102"	"30102"	
"30109"	"30109"	
"990923"	"990923"	
"990924"	"990924"	
"990925"	"990925"	
"990926"	"990926"	
"990927"	"990927"	
"990928"	"990928"	
"990929"	"990929"	
"990930"	"990930"	
"30300"	"30300"	
"30301"	"30301"	
"30302"	"30302"	
"30303"	"30303"	
"30304"	"30304"	
"30305"	"30305"	
"30398"	"30398"	
"990801"	"990801"	
"990803"	"990803"	
"990804"	"990804"	
"990805"	"990805"	
"990806"	"990806"	
"990807"	"990807"	
"990902"	"990902"	
"990802"	"990802"	
"990808"	"990808"	
"990809"	"990809"	
"990810"	"990810"	
"990811"	"990811"	
"990812"	"990812"	
"990919"	"990919"	
"30400"	"30400"	
"30401"	"30401"	
"30402"	"30402"	
"30403"	"30403"	
"30404"	"30404"	
"30505"	"30505"	
"30506"	"30506"	
"30405"	"30405"	
"30407"	"30407"	
"30408"	"30408"	
"30498"	"30498"	
"30600"	"30600"	
"30406"	"30406"	
"30601"	"30601"	
"30602"	"30602"	
"30603"	"30603"	
"990916"	"990916"	
"30604"	"30604"	
"30605"	"30605"	
"30698"	"30698"	
"30700"	"30700"	
"30701"	"30701"	
"30702"	"30702"	
"30703"	"30703"	
"990813"	"990813"	
"30704"	"30704"	
