Value Synonym	Value ID	
"109"	"109"	
"110"	"110"	
"114"	"114"	
"122"	"122"	
"115"	"115"	
"111"	"111"	
"118"	"118"	
"116"	"116"	
"113"	"113"	
"112"	"112"	
"117"	"117"	
"121"	"121"	
"120"	"120"	
"119"	"119"	
"92"	"92"	
"93"	"93"	
"94"	"94"	
"360"	"360"	
"374"	"374"	
"381"	"381"	
"382"	"382"	
"365"	"365"	
"389"	"389"	
"368"	"368"	
"378"	"378"	
"363"	"363"	
"362"	"362"	
"390"	"390"	
"388"	"388"	
"391"	"391"	
"367"	"367"	
"366"	"366"	
"364"	"364"	
"392"	"392"	
"375"	"375"	
"379"	"379"	
"361"	"361"	
"377"	"377"	
"386"	"386"	
"383"	"383"	
"371"	"371"	
"376"	"376"	
"373"	"373"	
"385"	"385"	
"387"	"387"	
"384"	"384"	
"369"	"369"	
"370"	"370"	
"380"	"380"	
"394"	"394"	
"393"	"393"	
"395"	"395"	
"372"	"372"	
"747"	"747"	
"748"	"748"	
"396"	"396"	
"416"	"416"	
"433"	"433"	
"418"	"418"	
"419"	"419"	
"406"	"406"	
"430"	"430"	
"401"	"401"	
"425"	"425"	
"408"	"408"	
"414"	"414"	
"404"	"404"	
"420"	"420"	
"415"	"415"	
"421"	"421"	
"426"	"426"	
"431"	"431"	
"427"	"427"	
"409"	"409"	
"432"	"432"	
"399"	"399"	
"400"	"400"	
"407"	"407"	
"403"	"403"	
"423"	"423"	
"411"	"411"	
"398"	"398"	
"397"	"397"	
"413"	"413"	
"405"	"405"	
"429"	"429"	
"412"	"412"	
"428"	"428"	
"417"	"417"	
"410"	"410"	
"424"	"424"	
"422"	"422"	
"402"	"402"	
"665"	"665"	
"672"	"672"	
"670"	"670"	
"675"	"675"	
"668"	"668"	
"667"	"667"	
"671"	"671"	
"674"	"674"	
"677"	"677"	
"676"	"676"	
"673"	"673"	
"666"	"666"	
"669"	"669"	
"208"	"208"	
"249"	"249"	
"216"	"216"	
"226"	"226"	
"236"	"236"	
"232"	"232"	
"239"	"239"	
"263"	"263"	
"274"	"274"	
"258"	"258"	
"240"	"240"	
"220"	"220"	
"269"	"269"	
"256"	"256"	
"254"	"254"	
"264"	"264"	
"248"	"248"	
"266"	"266"	
"218"	"218"	
"259"	"259"	
"223"	"223"	
"228"	"228"	
"242"	"242"	
"244"	"244"	
"215"	"215"	
"212"	"212"	
"210"	"210"	
"271"	"271"	
"221"	"221"	
"270"	"270"	
"246"	"246"	
"247"	"247"	
"260"	"260"	
"225"	"225"	
"267"	"267"	
"219"	"219"	
"235"	"235"	
"261"	"261"	
"230"	"230"	
"251"	"251"	
"255"	"255"	
"265"	"265"	
"222"	"222"	
"250"	"250"	
"227"	"227"	
"241"	"241"	
"275"	"275"	
"217"	"217"	
"234"	"234"	
"213"	"213"	
"257"	"257"	
"237"	"237"	
"268"	"268"	
"214"	"214"	
"229"	"229"	
"233"	"233"	
"253"	"253"	
"224"	"224"	
"252"	"252"	
"209"	"209"	
"243"	"243"	
"262"	"262"	
"273"	"273"	
"278"	"278"	
"245"	"245"	
"276"	"276"	
"272"	"272"	
"231"	"231"	
"238"	"238"	
"277"	"277"	
"708"	"708"	
"727"	"727"	
"730"	"730"	
"715"	"715"	
"728"	"728"	
"710"	"710"	
"716"	"716"	
"714"	"714"	
"721"	"721"	
"729"	"729"	
"724"	"724"	
"726"	"726"	
"718"	"718"	
"712"	"712"	
"709"	"709"	
"717"	"717"	
"713"	"713"	
"720"	"720"	
"719"	"719"	
"723"	"723"	
"711"	"711"	
"722"	"722"	
"725"	"725"	
"102"	"102"	
"104"	"104"	
"103"	"103"	
"107"	"107"	
"106"	"106"	
"108"	"108"	
"105"	"105"	
"279"	"279"	
"281"	"281"	
"358"	"358"	
"325"	"325"	
"350"	"350"	
"357"	"357"	
"297"	"297"	
"349"	"349"	
"288"	"288"	
"326"	"326"	
"287"	"287"	
"305"	"305"	
"303"	"303"	
"290"	"290"	
"319"	"319"	
"344"	"344"	
"312"	"312"	
"322"	"322"	
"354"	"354"	
"313"	"313"	
"323"	"323"	
"317"	"317"	
"352"	"352"	
"296"	"296"	
"359"	"359"	
"315"	"315"	
"343"	"343"	
"318"	"318"	
"302"	"302"	
"351"	"351"	
"314"	"314"	
"335"	"335"	
"346"	"346"	
"327"	"327"	
"320"	"320"	
"321"	"321"	
"306"	"306"	
"336"	"336"	
"324"	"324"	
"339"	"339"	
"300"	"300"	
"337"	"337"	
"286"	"286"	
"285"	"285"	
"334"	"334"	
"340"	"340"	
"292"	"292"	
"304"	"304"	
"328"	"328"	
"348"	"348"	
"294"	"294"	
"330"	"330"	
"280"	"280"	
"307"	"307"	
"329"	"329"	
"347"	"347"	
"333"	"333"	
"284"	"284"	
"283"	"283"	
"345"	"345"	
"356"	"356"	
"289"	"289"	
"310"	"310"	
"308"	"308"	
"309"	"309"	
"338"	"338"	
"353"	"353"	
"342"	"342"	
"341"	"341"	
"316"	"316"	
"299"	"299"	
"331"	"331"	
"293"	"293"	
"311"	"311"	
"295"	"295"	
"332"	"332"	
"282"	"282"	
"301"	"301"	
"291"	"291"	
"298"	"298"	
"355"	"355"	
"157"	"157"	
"187"	"187"	
"173"	"173"	
"199"	"199"	
"194"	"194"	
"171"	"171"	
"189"	"189"	
"164"	"164"	
"190"	"190"	
"182"	"182"	
"176"	"176"	
"172"	"172"	
"207"	"207"	
"180"	"180"	
"175"	"175"	
"206"	"206"	
"197"	"197"	
"161"	"161"	
"177"	"177"	
"169"	"169"	
"160"	"160"	
"195"	"195"	
"184"	"184"	
"159"	"159"	
"158"	"158"	
"193"	"193"	
"192"	"192"	
"179"	"179"	
"168"	"168"	
"178"	"178"	
"188"	"188"	
"163"	"163"	
"166"	"166"	
"205"	"205"	
"204"	"204"	
"198"	"198"	
"183"	"183"	
"181"	"181"	
"202"	"202"	
"185"	"185"	
"196"	"196"	
"167"	"167"	
"186"	"186"	
"162"	"162"	
"200"	"200"	
"165"	"165"	
"201"	"201"	
"191"	"191"	
"174"	"174"	
"203"	"203"	
"170"	"170"	
"87"	"87"	
"88"	"88"	
"753"	"753"	
"761"	"761"	
"755"	"755"	
"756"	"756"	
"764"	"764"	
"768"	"768"	
"766"	"766"	
"763"	"763"	
"767"	"767"	
"770"	"770"	
"769"	"769"	
"772"	"772"	
"754"	"754"	
"760"	"760"	
"762"	"762"	
"765"	"765"	
"758"	"758"	
"757"	"757"	
"759"	"759"	
"771"	"771"	
"95"	"95"	
