Value Synonym	Value ID	
"306"	"306"	
"307"	"307"	
"308"	"308"	
"309"	"309"	
"310"	"310"	
"311"	"311"	
"312"	"312"	
"313"	"313"	
"314"	"314"	
"315"	"315"	
"316"	"316"	
"317"	"317"	
"318"	"318"	
"319"	"319"	
"20"	"20"	
"320"	"320"	
"321"	"321"	
"322"	"322"	
"323"	"323"	
"324"	"324"	
"325"	"325"	
"326"	"326"	
"327"	"327"	
"328"	"328"	
"329"	"329"	
"330"	"330"	
"331"	"331"	
"332"	"332"	
"333"	"333"	
"334"	"334"	
"335"	"335"	
"336"	"336"	
"337"	"337"	
"338"	"338"	
"339"	"339"	
"340"	"340"	
"341"	"341"	
"342"	"342"	
"343"	"343"	
"344"	"344"	
"345"	"345"	
"346"	"346"	
"347"	"347"	
"348"	"348"	
"349"	"349"	
"350"	"350"	
"351"	"351"	
"352"	"352"	
"353"	"353"	
"354"	"354"	
"355"	"355"	
"356"	"356"	
"357"	"357"	
"358"	"358"	
"359"	"359"	
"360"	"360"	
"361"	"361"	
"362"	"362"	
"363"	"363"	
"364"	"364"	
"365"	"365"	
"366"	"366"	
"367"	"367"	
"368"	"368"	
"369"	"369"	
"370"	"370"	
"371"	"371"	
"372"	"372"	
"373"	"373"	
"374"	"374"	
"375"	"375"	
"376"	"376"	
"377"	"377"	
"378"	"378"	
"379"	"379"	
"380"	"380"	
"381"	"381"	
"382"	"382"	
"383"	"383"	
"384"	"384"	
"385"	"385"	
"386"	"386"	
"387"	"387"	
"388"	"388"	
"389"	"389"	
"390"	"390"	
"391"	"391"	
"392"	"392"	
"169000"	"169000"	
"393"	"393"	
"173000"	"173000"	
"68"	"68"	
"174000"	"174000"	
"395"	"395"	
"396"	"396"	
"222000"	"222000"	
"431"	"431"	
"432"	"432"	
"175000"	"175000"	
"397"	"397"	
"177000"	"177000"	
"398"	"398"	
"178000"	"178000"	
"399"	"399"	
"400"	"400"	
"179000"	"179000"	
"401"	"401"	
"180000"	"180000"	
"394"	"394"	
"181000"	"181000"	
"402"	"402"	
"182000"	"182000"	
"53"	"53"	
"3"	"3"	
"54"	"54"	
"61000"	"61000"	
"138"	"138"	
"140"	"140"	
"139"	"139"	
"141"	"141"	
"62000"	"62000"	
"104"	"104"	
"105"	"105"	
"183000"	"183000"	
"404"	"404"	
"187000"	"187000"	
"403"	"403"	
"189000"	"189000"	
"409"	"409"	
"191000"	"191000"	
"405"	"405"	
"406"	"406"	
"188000"	"188000"	
"407"	"407"	
"408"	"408"	
"192000"	"192000"	
"12"	"12"	
"193000"	"193000"	
"410"	"410"	
"195000"	"195000"	
"14"	"14"	
"196000"	"196000"	
"415"	"415"	
"200000"	"200000"	
"416"	"416"	
"201000"	"201000"	
"417"	"417"	
"418"	"418"	
"202000"	"202000"	
"423"	"423"	
"424"	"424"	
"7"	"7"	
"203000"	"203000"	
"419"	"419"	
"420"	"420"	
"421"	"421"	
"422"	"422"	
"208000"	"208000"	
"271"	"271"	
"209000"	"209000"	
"425"	"425"	
"21"	"21"	
"22"	"22"	
"23"	"23"	
"24"	"24"	
"210000"	"210000"	
"134"	"134"	
"135"	"135"	
"211000"	"211000"	
"296"	"296"	
"297"	"297"	
"299"	"299"	
"298"	"298"	
"300"	"300"	
"212000"	"212000"	
"411"	"411"	
"46"	"46"	
"47"	"47"	
"207000"	"207000"	
"144"	"144"	
"169"	"169"	
"48"	"48"	
"145"	"145"	
"170"	"170"	
"146"	"146"	
"171"	"171"	
"272"	"272"	
"275"	"275"	
"147"	"147"	
"172"	"172"	
"148"	"148"	
"173"	"173"	
"149"	"149"	
"161"	"161"	
"162"	"162"	
"150"	"150"	
"174"	"174"	
"151"	"151"	
"175"	"175"	
"152"	"152"	
"176"	"176"	
"153"	"153"	
"177"	"177"	
"273"	"273"	
"276"	"276"	
"154"	"154"	
"163"	"163"	
"164"	"164"	
"165"	"165"	
"155"	"155"	
"178"	"178"	
"156"	"156"	
"179"	"179"	
"157"	"157"	
"180"	"180"	
"166"	"166"	
"183"	"183"	
"167"	"167"	
"184"	"184"	
"168"	"168"	
"158"	"158"	
"159"	"159"	
"181"	"181"	
"274"	"274"	
"277"	"277"	
"160"	"160"	
"182"	"182"	
"213000"	"213000"	
"426"	"426"	
"214000"	"214000"	
"278"	"278"	
"279"	"279"	
"280"	"280"	
"216000"	"216000"	
"427"	"427"	
"217000"	"217000"	
"428"	"428"	
"429"	"429"	
"221000"	"221000"	
"430"	"430"	
"224000"	"224000"	
"435"	"435"	
"225000"	"225000"	
"4"	"4"	
"50"	"50"	
"998004"	"998004"	
"998000"	"998000"	
"28"	"28"	
"29"	"29"	
"30"	"30"	
"31"	"31"	
"32"	"32"	
"33"	"33"	
"34"	"34"	
"35"	"35"	
"37"	"37"	
"38"	"38"	
"39"	"39"	
"40"	"40"	
"41"	"41"	
"42"	"42"	
"43"	"43"	
"44"	"44"	
"45"	"45"	
" "	"0"	
