Value Synonym	Value ID	
"3000000"	"3000000"	
"99010150"	"99010150"	
"2060000"	"2060000"	
"99010151"	"99010151"	
"2061300"	"2061300"	
"99010152"	"99010152"	
"2060800"	"2060800"	
"99010054"	"99010054"	
"2060200"	"2060200"	
"2060300"	"2060300"	
"99010228"	"99010228"	
"99010229"	"99010229"	
"99010230"	"99010230"	
"2060500"	"2060500"	
"2061500"	"2061500"	
"2060600"	"2060600"	
"2060700"	"2060700"	
"99010233"	"99010233"	
"99010234"	"99010234"	
"99010235"	"99010235"	
"99010236"	"99010236"	
"2150000"	"2150000"	
"99010154"	"99010154"	
"99010155"	"99010155"	
"99010156"	"99010156"	
"2150400"	"2150400"	
"2150200"	"2150200"	
"99010070"	"99010070"	
"2150500"	"2150500"	
"2150300"	"2150300"	
"2150100"	"2150100"	
"2030600"	"2030600"	
"2040100"	"2040100"	
"2030800"	"2030800"	
"99010153"	"99010153"	
"99012400"	"99012400"	
"99012401"	"99012401"	
"99012402"	"99012402"	
"99012403"	"99012403"	
"99012404"	"99012404"	
"99010132"	"99010132"	
"99010133"	"99010133"	
"3170000"	"3170000"	
"3240000"	"3240000"	
"99010134"	"99010134"	
"3260000"	"3260000"	
"3140000"	"3140000"	
"99010141"	"99010141"	
"3250300"	"3250300"	
"3250400"	"3250400"	
"3250200"	"3250200"	
"3250100"	"3250100"	
"3190000"	"3190000"	
"3200000"	"3200000"	
"99010142"	"99010142"	
"3020000"	"3020000"	
"3160000"	"3160000"	
"99010137"	"99010137"	
"99010138"	"99010138"	
"99010139"	"99010139"	
"3070000"	"3070000"	
"99012626"	"99012626"	
"3270000"	"3270000"	
"3060000"	"3060000"	
"3110000"	"3110000"	
"3080000"	"3080000"	
"3020100"	"3020100"	
"3020200"	"3020200"	
"99010140"	"99010140"	
"99012042"	"99012042"	
"99012043"	"99012043"	
"99010135"	"99010135"	
"99010034"	"99010034"	
"3090000"	"3090000"	
"99012039"	"99012039"	
"99010143"	"99010143"	
"99010085"	"99010085"	
"99010144"	"99010144"	
"3280100"	"3280100"	
"3280200"	"3280200"	
"99010071"	"99010071"	
"99010145"	"99010145"	
"99012627"	"99012627"	
