Value Synonym	Value ID	
"2"	"2"	
"3"	"3"	
"9"	"9"	
"4"	"4"	
"10"	"10"	
"11"	"11"	
"12"	"12"	
"13"	"13"	
"14"	"14"	
"15"	"15"	
"16"	"16"	
"17"	"17"	
"18"	"18"	
"5"	"5"	
"205"	"205"	
"19"	"19"	
"217"	"217"	
"21"	"21"	
"22"	"22"	
"20"	"20"	
"23"	"23"	
"211"	"211"	
"24"	"24"	
"6"	"6"	
"7"	"7"	
"25"	"25"	
"208"	"208"	
"26"	"26"	
"27"	"27"	
"28"	"28"	
"8"	"8"	
"29"	"29"	
"30"	"30"	
"32"	"32"	
"33"	"33"	
"31"	"31"	
"34"	"34"	
"35"	"35"	
"36"	"36"	
"37"	"37"	
"204"	"204"	
"38"	"38"	
"39"	"39"	
"41"	"41"	
"42"	"42"	
"43"	"43"	
"44"	"44"	
"45"	"45"	
"40"	"40"	
"46"	"46"	
"47"	"47"	
"50"	"50"	
"51"	"51"	
"202"	"202"	
"48"	"48"	
"52"	"52"	
"49"	"49"	
"53"	"53"	
"54"	"54"	
"55"	"55"	
"56"	"56"	
"57"	"57"	
"58"	"58"	
"61"	"61"	
"62"	"62"	
"59"	"59"	
"223"	"223"	
"60"	"60"	
"63"	"63"	
"64"	"64"	
"65"	"65"	
"66"	"66"	
"67"	"67"	
"213"	"213"	
"68"	"68"	
"70"	"70"	
"71"	"71"	
"72"	"72"	
"73"	"73"	
"74"	"74"	
"75"	"75"	
"69"	"69"	
"76"	"76"	
"77"	"77"	
"83"	"83"	
"84"	"84"	
"85"	"85"	
"86"	"86"	
"78"	"78"	
"79"	"79"	
"80"	"80"	
"87"	"87"	
"220"	"220"	
"81"	"81"	
"88"	"88"	
"89"	"89"	
"90"	"90"	
"82"	"82"	
"91"	"91"	
"92"	"92"	
"94"	"94"	
"209"	"209"	
"221"	"221"	
"95"	"95"	
"210"	"210"	
"96"	"96"	
"97"	"97"	
"98"	"98"	
"99"	"99"	
"100"	"100"	
"101"	"101"	
"102"	"102"	
"103"	"103"	
"104"	"104"	
"105"	"105"	
"106"	"106"	
"107"	"107"	
"93"	"93"	
"109"	"109"	
"110"	"110"	
"111"	"111"	
"112"	"112"	
"108"	"108"	
"113"	"113"	
"222"	"222"	
"206"	"206"	
"115"	"115"	
"116"	"116"	
"114"	"114"	
"117"	"117"	
"214"	"214"	
"123"	"123"	
"122"	"122"	
"118"	"118"	
"124"	"124"	
"125"	"125"	
"126"	"126"	
"127"	"127"	
"119"	"119"	
"128"	"128"	
"129"	"129"	
"120"	"120"	
"121"	"121"	
"203"	"203"	
"130"	"130"	
"131"	"131"	
"132"	"132"	
"137"	"137"	
"207"	"207"	
"133"	"133"	
"134"	"134"	
"138"	"138"	
"139"	"139"	
"215"	"215"	
"140"	"140"	
"141"	"141"	
"142"	"142"	
"143"	"143"	
"135"	"135"	
"144"	"144"	
"136"	"136"	
"148"	"148"	
"149"	"149"	
"150"	"150"	
"145"	"145"	
"146"	"146"	
"151"	"151"	
"152"	"152"	
"153"	"153"	
"157"	"157"	
"154"	"154"	
"155"	"155"	
"212"	"212"	
"147"	"147"	
"156"	"156"	
"158"	"158"	
"159"	"159"	
"160"	"160"	
"164"	"164"	
"165"	"165"	
"219"	"219"	
"166"	"166"	
"167"	"167"	
"168"	"168"	
"161"	"161"	
"169"	"169"	
"162"	"162"	
"170"	"170"	
"171"	"171"	
"172"	"172"	
"173"	"173"	
"163"	"163"	
"174"	"174"	
"175"	"175"	
"176"	"176"	
"177"	"177"	
"178"	"178"	
"179"	"179"	
"216"	"216"	
"224"	"224"	
"180"	"180"	
"181"	"181"	
"184"	"184"	
"185"	"185"	
"186"	"186"	
"218"	"218"	
"187"	"187"	
"188"	"188"	
"189"	"189"	
"190"	"190"	
"182"	"182"	
"191"	"191"	
"183"	"183"	
"192"	"192"	
"193"	"193"	
"195"	"195"	
"194"	"194"	
"197"	"197"	
"196"	"196"	
"198"	"198"	
"199"	"199"	
"200"	"200"	
"201"	"201"	
"1"	"1"	
