Value Synonym	Value ID	
"20000"	"20000"	
"10000967"	"10000967"	
"20002"	"20002"	
"10001922"	"10001922"	
"20003"	"20003"	
"10001921"	"10001921"	
"10001923"	"10001923"	
"20005"	"20005"	
"20004"	"20004"	
"20006"	"20006"	
"10001920"	"10001920"	
"20007"	"20007"	
"10001919"	"10001919"	
"29998"	"29998"	
"29999"	"29999"	
"10004513"	"10004513"	
"40000"	"40000"	
"40003"	"40003"	
"10005319"	"10005319"	
"40001"	"40001"	
"40004"	"40004"	
"10005318"	"10005318"	
"10003452"	"10003452"	
"49998"	"49998"	
"49999"	"49999"	
"10004514"	"10004514"	
"50000"	"50000"	
"50003"	"50003"	
"50005"	"50005"	
"50004"	"50004"	
"50007"	"50007"	
"59998"	"59998"	
"50008"	"50008"	
"50002"	"50002"	
"50006"	"50006"	
"10001918"	"10001918"	
"59999"	"59999"	
"10004515"	"10004515"	
"60000"	"60000"	
"69998"	"69998"	
"69999"	"69999"	
"10004516"	"10004516"	
"70000"	"70000"	
"79998"	"79998"	
"79999"	"79999"	
"10004517"	"10004517"	
"80000"	"80000"	
"80001"	"80001"	
"10002653"	"10002653"	
"10001038"	"10001038"	
"80013"	"80013"	
"10001110"	"10001110"	
"80011"	"80011"	
"80018"	"80018"	
"80019"	"80019"	
"80020"	"80020"	
"80021"	"80021"	
"10001916"	"10001916"	
"80006"	"80006"	
"80022"	"80022"	
"80010"	"80010"	
"80007"	"80007"	
"80005"	"80005"	
"80004"	"80004"	
"10002824"	"10002824"	
"10002870"	"10002870"	
"10001915"	"10001915"	
"80008"	"80008"	
"10001917"	"10001917"	
"10003144"	"10003144"	
"80009"	"80009"	
"80003"	"80003"	
"80023"	"80023"	
"80024"	"80024"	
"10001450"	"10001450"	
"80012"	"80012"	
"10003413"	"10003413"	
"80027"	"80027"	
"80026"	"80026"	
"80002"	"80002"	
"80015"	"80015"	
"80014"	"80014"	
"80016"	"80016"	
"80017"	"80017"	
"89998"	"89998"	
"89999"	"89999"	
"10004518"	"10004518"	
"90000"	"90000"	
"99998"	"99998"	
"99999"	"99999"	
"10004519"	"10004519"	
"100000"	"100000"	
"100010"	"100010"	
"100011"	"100011"	
"100013"	"100013"	
"100015"	"100015"	
"100009"	"100009"	
"100005"	"100005"	
"100014"	"100014"	
"100003"	"100003"	
"109998"	"109998"	
"109999"	"109999"	
"10004520"	"10004520"	
"110000"	"110000"	
"110016"	"110016"	
"110001"	"110001"	
"110002"	"110002"	
"110026"	"110026"	
"10002807"	"10002807"	
"110004"	"110004"	
"110005"	"110005"	
"110006"	"110006"	
"110007"	"110007"	
"110017"	"110017"	
"110008"	"110008"	
"110019"	"110019"	
"10001653"	"10001653"	
"110009"	"110009"	
"10001913"	"10001913"	
"110011"	"110011"	
"10001912"	"10001912"	
"10001914"	"10001914"	
"110027"	"110027"	
"110014"	"110014"	
"110018"	"110018"	
"119998"	"119998"	
"119999"	"119999"	
"10004521"	"10004521"	
"2760000"	"2760000"	
"2760025"	"2760025"	
"2760002"	"2760002"	
"10002819"	"10002819"	
"10002821"	"10002821"	
"2760008"	"2760008"	
"2760001"	"2760001"	
"2760012"	"2760012"	
"670003"	"670003"	
"2760013"	"2760013"	
"2760009"	"2760009"	
"2760014"	"2760014"	
"2760015"	"2760015"	
"2760016"	"2760016"	
"2760017"	"2760017"	
"2760018"	"2760018"	
"2760019"	"2760019"	
"10001639"	"10001639"	
"10001522"	"10001522"	
"10001640"	"10001640"	
"10003675"	"10003675"	
"10003508"	"10003508"	
"2760022"	"2760022"	
"2760023"	"2760023"	
"10001638"	"10001638"	
"2760005"	"2760005"	
"2760024"	"2760024"	
"2769998"	"2769998"	
"2769999"	"2769999"	
"10004522"	"10004522"	
"120000"	"120000"	
"120001"	"120001"	
"120003"	"120003"	
"129998"	"129998"	
"1660065"	"1660065"	
"129999"	"129999"	
"120004"	"120004"	
"10004523"	"10004523"	
"130000"	"130000"	
"139998"	"139998"	
"139999"	"139999"	
"10004524"	"10004524"	
"150000"	"150000"	
"150019"	"150019"	
"150001"	"150001"	
"10001106"	"10001106"	
"150003"	"150003"	
"150048"	"150048"	
"150004"	"150004"	
"150054"	"150054"	
"10002741"	"10002741"	
"150005"	"150005"	
"150055"	"150055"	
"150056"	"150056"	
"150007"	"150007"	
"150041"	"150041"	
"10002850"	"10002850"	
"10002851"	"10002851"	
"150053"	"150053"	
"150012"	"150012"	
"10002852"	"10002852"	
"10001911"	"10001911"	
"150013"	"150013"	
"10001906"	"10001906"	
"10002853"	"10002853"	
"150050"	"150050"	
"10002979"	"10002979"	
"10002981"	"10002981"	
"150072"	"150072"	
"150059"	"150059"	
"10001908"	"10001908"	
"150016"	"150016"	
"150017"	"150017"	
"150018"	"150018"	
"150045"	"150045"	
"150046"	"150046"	
"10003160"	"10003160"	
"150021"	"150021"	
"150060"	"150060"	
"150022"	"150022"	
"150023"	"150023"	
"150024"	"150024"	
"150061"	"150061"	
"150025"	"150025"	
"10001910"	"10001910"	
"150047"	"150047"	
"150062"	"150062"	
"150027"	"150027"	
"150063"	"150063"	
"150064"	"150064"	
"10001273"	"10001273"	
"150028"	"150028"	
"150042"	"150042"	
"150029"	"150029"	
"150065"	"150065"	
"150030"	"150030"	
"10002949"	"10002949"	
"150066"	"150066"	
"150044"	"150044"	
"150043"	"150043"	
"150033"	"150033"	
"150067"	"150067"	
"150049"	"150049"	
"150034"	"150034"	
