Value Synonym	Value ID	
"2"	"2"	
"312"	"312"	
"4"	"4"	
"5"	"5"	
"6"	"6"	
"7"	"7"	
"8"	"8"	
"9"	"9"	
"10"	"10"	
"11"	"11"	
"276"	"276"	
"12"	"12"	
"15"	"15"	
"16"	"16"	
"277"	"277"	
"19"	"19"	
"20"	"20"	
"21"	"21"	
"22"	"22"	
"278"	"278"	
"24"	"24"	
"25"	"25"	
"26"	"26"	
"27"	"27"	
"28"	"28"	
"29"	"29"	
"1009"	"1009"	
"297"	"297"	
"30"	"30"	
"31"	"31"	
"33"	"33"	
"36"	"36"	
"37"	"37"	
"38"	"38"	
"40"	"40"	
"298"	"298"	
"42"	"42"	
"43"	"43"	
"46"	"46"	
"48"	"48"	
"49"	"49"	
"50"	"50"	
"51"	"51"	
"52"	"52"	
"53"	"53"	
"54"	"54"	
"55"	"55"	
"56"	"56"	
"309"	"309"	
"57"	"57"	
"58"	"58"	
"59"	"59"	
"279"	"279"	
"61"	"61"	
"1010"	"1010"	
"62"	"62"	
"63"	"63"	
"67"	"67"	
"68"	"68"	
"69"	"69"	
"70"	"70"	
"72"	"72"	
"73"	"73"	
"74"	"74"	
"75"	"75"	
"299"	"299"	
"280"	"280"	
"76"	"76"	
"79"	"79"	
"78"	"78"	
"80"	"80"	
"81"	"81"	
"82"	"82"	
"84"	"84"	
"89"	"89"	
"90"	"90"	
"281"	"281"	
"95"	"95"	
"97"	"97"	
"98"	"98"	
"101"	"101"	
"102"	"102"	
"103"	"103"	
"1005"	"1005"	
"106"	"106"	
"313"	"313"	
"107"	"107"	
"108"	"108"	
"109"	"109"	
"110"	"110"	
"112"	"112"	
"307"	"307"	
"114"	"114"	
"115"	"115"	
"116"	"116"	
"117"	"117"	
"118"	"118"	
"119"	"119"	
"120"	"120"	
"314"	"314"	
"121"	"121"	
"122"	"122"	
"123"	"123"	
"124"	"124"	
"125"	"125"	
"315"	"315"	
"127"	"127"	
"282"	"282"	
"128"	"128"	
"283"	"283"	
"65"	"65"	
"130"	"130"	
"14"	"14"	
"131"	"131"	
"284"	"284"	
"133"	"133"	
"285"	"285"	
"135"	"135"	
"136"	"136"	
"137"	"137"	
"138"	"138"	
"139"	"139"	
"286"	"286"	
"141"	"141"	
"308"	"308"	
"316"	"316"	
"143"	"143"	
"145"	"145"	
"146"	"146"	
"147"	"147"	
"148"	"148"	
"149"	"149"	
"150"	"150"	
"151"	"151"	
"1006"	"1006"	
"153"	"153"	
"154"	"154"	
"317"	"317"	
"155"	"155"	
"303"	"303"	
"287"	"287"	
"157"	"157"	
"158"	"158"	
"318"	"318"	
"159"	"159"	
"160"	"160"	
"161"	"161"	
"39"	"39"	
"163"	"163"	
"164"	"164"	
"165"	"165"	
"166"	"166"	
"169"	"169"	
"173"	"173"	
"174"	"174"	
"175"	"175"	
"176"	"176"	
"177"	"177"	
"178"	"178"	
"179"	"179"	
"180"	"180"	
"184"	"184"	
"304"	"304"	
"321"	"321"	
"185"	"185"	
"187"	"187"	
"189"	"189"	
"190"	"190"	
"191"	"191"	
"192"	"192"	
"193"	"193"	
"194"	"194"	
"195"	"195"	
"196"	"196"	
"198"	"198"	
"288"	"288"	
"199"	"199"	
"1007"	"1007"	
"202"	"202"	
"204"	"204"	
"205"	"205"	
"1008"	"1008"	
"208"	"208"	
"209"	"209"	
"210"	"210"	
"211"	"211"	
"212"	"212"	
"213"	"213"	
"319"	"319"	
"214"	"214"	
"215"	"215"	
"217"	"217"	
"167"	"167"	
"289"	"289"	
"290"	"290"	
"34"	"34"	
"218"	"218"	
"219"	"219"	
"1002"	"1002"	
"221"	"221"	
"222"	"222"	
"224"	"224"	
"225"	"225"	
"226"	"226"	
"227"	"227"	
"228"	"228"	
"229"	"229"	
"230"	"230"	
"231"	"231"	
"291"	"291"	
"248"	"248"	
"234"	"234"	
"311"	"311"	
"236"	"236"	
"237"	"237"	
"238"	"238"	
"239"	"239"	
"240"	"240"	
"241"	"241"	
"293"	"293"	
"242"	"242"	
"306"	"306"	
"243"	"243"	
"294"	"294"	
"245"	"245"	
"246"	"246"	
"249"	"249"	
"251"	"251"	
"295"	"295"	
"252"	"252"	
"111"	"111"	
"254"	"254"	
"255"	"255"	
"256"	"256"	
"257"	"257"	
"261"	"261"	
"320"	"320"	
"263"	"263"	
"266"	"266"	
"269"	"269"	
"1001"	"1001"	
"17"	"17"	
"998"	"998"	
"999"	"999"	
