Value Synonym	Value ID	
"9816"	"9816"	
"100"	"100"	
"101"	"101"	
"102"	"102"	
"200"	"200"	
"201"	"201"	
"202"	"202"	
"300"	"300"	
"301"	"301"	
"302"	"302"	
"400"	"400"	
"401"	"401"	
"402"	"402"	
"9800"	"9800"	
"9801"	"9801"	
"9802"	"9802"	
"9803"	"9803"	
"9804"	"9804"	
"9806"	"9806"	
"9822"	"9822"	
"9823"	"9823"	
"9824"	"9824"	
"500"	"500"	
"501"	"501"	
"502"	"502"	
"503"	"503"	
"504"	"504"	
"9805"	"9805"	
"9807"	"9807"	
"9815"	"9815"	
"9817"	"9817"	
"9818"	"9818"	
"9820"	"9820"	
"9819"	"9819"	
"9808"	"9808"	
"9809"	"9809"	
"9810"	"9810"	
"9814"	"9814"	
"9813"	"9813"	
"9821"	"9821"	
"9811"	"9811"	
"9812"	"9812"	
