Value Synonym	Value ID	
"1"	"1"	
"2"	"2"	
"5"	"5"	
"6"	"6"	
"7"	"7"	
"8"	"8"	
"9"	"9"	
"10"	"10"	
"11"	"11"	
"3"	"3"	
"12"	"12"	
"13"	"13"	
"14"	"14"	
"15"	"15"	
"16"	"16"	
"4"	"4"	
"17"	"17"	
"18"	"18"	
"19"	"19"	
"20"	"20"	
"21"	"21"	
"22"	"22"	
"23"	"23"	
"71"	"71"	
"72"	"72"	
"24"	"24"	
"25"	"25"	
"26"	"26"	
"27"	"27"	
"28"	"28"	
"29"	"29"	
"30"	"30"	
"31"	"31"	
"32"	"32"	
"33"	"33"	
"35"	"35"	
"41"	"41"	
"42"	"42"	
"43"	"43"	
"44"	"44"	
"36"	"36"	
"45"	"45"	
"46"	"46"	
"47"	"47"	
"48"	"48"	
"49"	"49"	
"50"	"50"	
"51"	"51"	
"37"	"37"	
"52"	"52"	
"53"	"53"	
"54"	"54"	
"55"	"55"	
"38"	"38"	
"56"	"56"	
"57"	"57"	
"58"	"58"	
"39"	"39"	
"40"	"40"	
"59"	"59"	
"62"	"62"	
"63"	"63"	
"64"	"64"	
"65"	"65"	
"66"	"66"	
"67"	"67"	
"68"	"68"	
"69"	"69"	
"70"	"70"	
"60"	"60"	
"73"	"73"	
"61"	"61"	
