Value Synonym	Value ID	
"1"	"1"	
"8"	"8"	
"11"	"11"	
"16"	"16"	
"14"	"14"	
"15"	"15"	
"27"	"27"	
"74"	"74"	
"12"	"12"	
"17"	"17"	
"73"	"73"	
"13"	"13"	
"18"	"18"	
"19"	"19"	
"9"	"9"	
"20"	"20"	
"75"	"75"	
"71"	"71"	
"21"	"21"	
"23"	"23"	
"24"	"24"	
"70"	"70"	
"22"	"22"	
"25"	"25"	
"26"	"26"	
"2"	"2"	
"29"	"29"	
"31"	"31"	
"35"	"35"	
"34"	"34"	
"36"	"36"	
"67"	"67"	
"32"	"32"	
"76"	"76"	
"72"	"72"	
"33"	"33"	
"30"	"30"	
"37"	"37"	
"38"	"38"	
"3"	"3"	
"39"	"39"	
"42"	"42"	
"43"	"43"	
"44"	"44"	
"68"	"68"	
"40"	"40"	
"45"	"45"	
"47"	"47"	
"48"	"48"	
"46"	"46"	
"69"	"69"	
"41"	"41"	
"5"	"5"	
"60"	"60"	
"6"	"6"	
"61"	"61"	
"62"	"62"	
"63"	"63"	
"64"	"64"	
"4"	"4"	
"49"	"49"	
"56"	"56"	
"57"	"57"	
"50"	"50"	
"58"	"58"	
"59"	"59"	
"51"	"51"	
"28"	"28"	
"52"	"52"	
"53"	"53"	
"55"	"55"	
"54"	"54"	
"65"	"65"	
"7"	"7"	
