Value Synonym	Value ID	
"21320"	"21320"	
"21321"	"21321"	
"21322"	"21322"	
"21323"	"21323"	
"21324"	"21324"	
"21325"	"21325"	
"21326"	"21326"	
"21327"	"21327"	
"21328"	"21328"	
"21329"	"21329"	
"21330"	"21330"	
"21331"	"21331"	
"21332"	"21332"	
"21333"	"21333"	
"21334"	"21334"	
"21335"	"21335"	
"21336"	"21336"	
"21337"	"21337"	
"21338"	"21338"	
"21339"	"21339"	
"21340"	"21340"	
"21341"	"21341"	
"21342"	"21342"	
"21343"	"21343"	
"227"	"227"	
"3345"	"3345"	
"18371"	"18371"	
"18370"	"18370"	
"228"	"228"	
"3346"	"3346"	
"19824"	"19824"	
"590"	"590"	
"1099"	"1099"	
"15459"	"15459"	
"3884"	"3884"	
"17153"	"17153"	
"1"	"1"	
"597"	"597"	
"16709"	"16709"	
"596"	"596"	
"17285"	"17285"	
"3464"	"3464"	
"18483"	"18483"	
"3899"	"3899"	
"15059"	"15059"	
"3000"	"3000"	
"19463"	"19463"	
"1605"	"1605"	
"19053"	"19053"	
"451"	"451"	
"2954"	"2954"	
"14112"	"14112"	
"3856"	"3856"	
"14220"	"14220"	
"18673"	"18673"	
"2955"	"2955"	
"19581"	"19581"	
"1063"	"1063"	
"17766"	"17766"	
"2476"	"2476"	
"19523"	"19523"	
"16296"	"16296"	
"18799"	"18799"	
"383"	"383"	
"1528"	"1528"	
"16949"	"16949"	
"2"	"2"	
"598"	"598"	
"15119"	"15119"	
"420"	"420"	
"2463"	"2463"	
"17137"	"17137"	
"14683"	"14683"	
"1554"	"1554"	
"16198"	"16198"	
"16955"	"16955"	
"18521"	"18521"	
"16954"	"16954"	
"17858"	"17858"	
"17859"	"17859"	
"3842"	"3842"	
"19205"	"19205"	
"16845"	"16845"	
"15288"	"15288"	
"19204"	"19204"	
"197"	"197"	
"2370"	"2370"	
"18586"	"18586"	
"13841"	"13841"	
"19098"	"19098"	
"18234"	"18234"	
"15658"	"15658"	
"4257"	"4257"	
"19429"	"19429"	
"16742"	"16742"	
"17220"	"17220"	
"14285"	"14285"	
"15092"	"15092"	
"18901"	"18901"	
"21344"	"21344"	
"21345"	"21345"	
"961"	"961"	
"16090"	"16090"	
"18382"	"18382"	
"16921"	"16921"	
"15445"	"15445"	
"19724"	"19724"	
"16920"	"16920"	
"14493"	"14493"	
"15444"	"15444"	
"14492"	"14492"	
"2847"	"2847"	
"13982"	"13982"	
"15627"	"15627"	
"13981"	"13981"	
"529"	"529"	
"1579"	"1579"	
"15488"	"15488"	
"17863"	"17863"	
"21346"	"21346"	
"21349"	"21349"	
"21350"	"21350"	
"21347"	"21347"	
"21348"	"21348"	
"3"	"3"	
"599"	"599"	
"16139"	"16139"	
"16710"	"16710"	
