Value Synonym	Value ID	
"905"	"905"	
"5"	"5"	
"8"	"8"	
"13"	"13"	
"26"	"26"	
"30"	"30"	
"38"	"38"	
"40"	"40"	
"42"	"42"	
"44"	"44"	
"1264"	"1264"	
"1273"	"1273"	
"1265"	"1265"	
"1266"	"1266"	
"1267"	"1267"	
"1274"	"1274"	
"1268"	"1268"	
"46"	"46"	
"49"	"49"	
"50"	"50"	
"56"	"56"	
"57"	"57"	
"309"	"309"	
"68"	"68"	
"73"	"73"	
"75"	"75"	
"299"	"299"	
"76"	"76"	
"89"	"89"	
"90"	"90"	
"97"	"97"	
"107"	"107"	
"108"	"108"	
"388"	"388"	
"123"	"123"	
"128"	"128"	
"136"	"136"	
"137"	"137"	
"138"	"138"	
"143"	"143"	
"145"	"145"	
"148"	"148"	
"153"	"153"	
"154"	"154"	
"317"	"317"	
"160"	"160"	
"161"	"161"	
"389"	"389"	
"163"	"163"	
"175"	"175"	
"176"	"176"	
"197"	"197"	
"199"	"199"	
"202"	"202"	
"211"	"211"	
"213"	"213"	
"214"	"214"	
"215"	"215"	
"218"	"218"	
"219"	"219"	
"1306"	"1306"	
"224"	"224"	
"227"	"227"	
"248"	"248"	
"236"	"236"	
"324"	"324"	
"240"	"240"	
"243"	"243"	
"320"	"320"	
"266"	"266"	
"269"	"269"	
"902"	"902"	
"350"	"350"	
"347"	"347"	
"356"	"356"	
"21"	"21"	
"348"	"348"	
"360"	"360"	
"371"	"371"	
"28"	"28"	
"373"	"373"	
"376"	"376"	
"36"	"36"	
"298"	"298"	
"357"	"357"	
"52"	"52"	
"378"	"378"	
"355"	"355"	
"370"	"370"	
"374"	"374"	
"346"	"346"	
"379"	"379"	
"364"	"364"	
"351"	"351"	
"365"	"365"	
"307"	"307"	
"116"	"116"	
"349"	"349"	
"117"	"117"	
"125"	"125"	
"352"	"352"	
"368"	"368"	
"372"	"372"	
"65"	"65"	
"130"	"130"	
"133"	"133"	
"369"	"369"	
"308"	"308"	
"146"	"146"	
"147"	"147"	
"375"	"375"	
"158"	"158"	
"377"	"377"	
"39"	"39"	
"165"	"165"	
"363"	"363"	
"359"	"359"	
"191"	"191"	
"345"	"345"	
"367"	"367"	
"1001"	"1001"	
"217"	"217"	
"353"	"353"	
"222"	"222"	
"358"	"358"	
"231"	"231"	
"366"	"366"	
"234"	"234"	
"361"	"361"	
"311"	"311"	
"255"	"255"	
"354"	"354"	
"908"	"908"	
"9"	"9"	
"10"	"10"	
"12"	"12"	
"19"	"19"	
"22"	"22"	
"25"	"25"	
"27"	"27"	
"48"	"48"	
"59"	"59"	
"61"	"61"	
"69"	"69"	
"70"	"70"	
"74"	"74"	
"104"	"104"	
"152"	"152"	
"501"	"501"	
"502"	"502"	
"103"	"103"	
"106"	"106"	
"110"	"110"	
"112"	"112"	
"124"	"124"	
"155"	"155"	
"159"	"159"	
"167"	"167"	
"174"	"174"	
"185"	"185"	
"195"	"195"	
"204"	"204"	
"205"	"205"	
"208"	"208"	
"239"	"239"	
"242"	"242"	
"256"	"256"	
"257"	"257"	
"1310"	"1310"	
"1311"	"1311"	
"901"	"901"	
"337"	"337"	
"339"	"339"	
"322"	"322"	
"312"	"312"	
"4"	"4"	
"7"	"7"	
"276"	"276"	
"16"	"16"	
"277"	"277"	
"1"	"1"	
"326"	"326"	
"343"	"343"	
"329"	"329"	
"278"	"278"	
"24"	"24"	
"310"	"310"	
"297"	"297"	
"37"	"37"	
"1275"	"1275"	
"1276"	"1276"	
"1277"	"1277"	
"1278"	"1278"	
"1279"	"1279"	
"1280"	"1280"	
"1281"	"1281"	
"1282"	"1282"	
"1283"	"1283"	
"1284"	"1284"	
"1285"	"1285"	
"1286"	"1286"	
"1287"	"1287"	
"1288"	"1288"	
"1289"	"1289"	
"1290"	"1290"	
"1291"	"1291"	
"1292"	"1292"	
"1293"	"1293"	
"1294"	"1294"	
"1295"	"1295"	
"1296"	"1296"	
"1297"	"1297"	
"1298"	"1298"	
"1299"	"1299"	
"1300"	"1300"	
"1301"	"1301"	
"1302"	"1302"	
"340"	"340"	
"279"	"279"	
"62"	"62"	
"63"	"63"	
"67"	"67"	
"328"	"328"	
"280"	"280"	
"78"	"78"	
"81"	"81"	
"82"	"82"	
"405"	"405"	
"406"	"406"	
"407"	"407"	
"408"	"408"	
"409"	"409"	
"410"	"410"	
"411"	"411"	
"412"	"412"	
"413"	"413"	
"414"	"414"	
"415"	"415"	
"416"	"416"	
"417"	"417"	
"418"	"418"	
"419"	"419"	
"420"	"420"	
"421"	"421"	
"422"	"422"	
"423"	"423"	
"424"	"424"	
"425"	"425"	
"426"	"426"	
"427"	"427"	
"428"	"428"	
"429"	"429"	
"430"	"430"	
"431"	"431"	
"432"	"432"	
"433"	"433"	
"434"	"434"	
"435"	"435"	
"436"	"436"	
"437"	"437"	
"438"	"438"	
"439"	"439"	
"440"	"440"	
"441"	"441"	
"442"	"442"	
"443"	"443"	
"444"	"444"	
"445"	"445"	
"446"	"446"	
"447"	"447"	
"448"	"448"	
"449"	"449"	
"450"	"450"	
"451"	"451"	
"452"	"452"	
"453"	"453"	
"454"	"454"	
"455"	"455"	
"456"	"456"	
"457"	"457"	
"458"	"458"	
"459"	"459"	
"460"	"460"	
"461"	"461"	
"462"	"462"	
"463"	"463"	
"464"	"464"	
"465"	"465"	
"466"	"466"	
"467"	"467"	
"468"	"468"	
"469"	"469"	
"470"	"470"	
"471"	"471"	
"472"	"472"	
"473"	"473"	
"474"	"474"	
"475"	"475"	
"476"	"476"	
"477"	"477"	
"478"	"478"	
"479"	"479"	
"480"	"480"	
"481"	"481"	
"482"	"482"	
"483"	"483"	
"484"	"484"	
"485"	"485"	
"486"	"486"	
"487"	"487"	
"488"	"488"	
"489"	"489"	
"490"	"490"	
