Value Synonym	Value ID	
"10000"	"10000"	
"10001"	"10001"	
"20000"	"20000"	
"6330"	"6330"	
"6331"	"6331"	
"20001"	"20001"	
"6332"	"6332"	
"20002"	"20002"	
"20003"	"20003"	
"20004"	"20004"	
"20005"	"20005"	
"20006"	"20006"	
"20007"	"20007"	
"6335"	"6335"	
"6336"	"6336"	
"20008"	"20008"	
"6337"	"6337"	
"20009"	"20009"	
"10100"	"10100"	
"10101"	"10101"	
"20010"	"20010"	
"10200"	"10200"	
"10201"	"10201"	
"10300"	"10300"	
"13001"	"13001"	
"20011"	"20011"	
"10400"	"10400"	
"10401"	"10401"	
"20012"	"20012"	
"200"	"200"	
"20013"	"20013"	
"20014"	"20014"	
"20015"	"20015"	
"20016"	"20016"	
"20017"	"20017"	
"20018"	"20018"	
"20019"	"20019"	
"20020"	"20020"	
"20021"	"20021"	
"20022"	"20022"	
"100"	"100"	
"101"	"101"	
"20023"	"20023"	
"20024"	"20024"	
"20025"	"20025"	
"20026"	"20026"	
"20027"	"20027"	
"20028"	"20028"	
"20029"	"20029"	
"20030"	"20030"	
"20031"	"20031"	
"20032"	"20032"	
"20033"	"20033"	
"20034"	"20034"	
"20035"	"20035"	
"20036"	"20036"	
"20037"	"20037"	
"20038"	"20038"	
"20039"	"20039"	
"20040"	"20040"	
"20041"	"20041"	
"20042"	"20042"	
"20043"	"20043"	
"20044"	"20044"	
"20045"	"20045"	
"20046"	"20046"	
"20047"	"20047"	
"20048"	"20048"	
"20049"	"20049"	
"20050"	"20050"	
"20051"	"20051"	
"20052"	"20052"	
"20053"	"20053"	
"20054"	"20054"	
"20055"	"20055"	
"20056"	"20056"	
"20057"	"20057"	
"20058"	"20058"	
"20059"	"20059"	
"20060"	"20060"	
"20061"	"20061"	
"20062"	"20062"	
"20063"	"20063"	
"20064"	"20064"	
"20065"	"20065"	
"20066"	"20066"	
"20067"	"20067"	
"20068"	"20068"	
"20069"	"20069"	
"20070"	"20070"	
"20071"	"20071"	
"102"	"102"	
"20072"	"20072"	
"20073"	"20073"	
"20074"	"20074"	
"20075"	"20075"	
"20076"	"20076"	
"20077"	"20077"	
"20078"	"20078"	
"20079"	"20079"	
"20080"	"20080"	
"20081"	"20081"	
"6305"	"6305"	
"103"	"103"	
"20082"	"20082"	
"20083"	"20083"	
"20084"	"20084"	
"20085"	"20085"	
"20086"	"20086"	
"104"	"104"	
"20087"	"20087"	
"20088"	"20088"	
"20089"	"20089"	
"20090"	"20090"	
"20091"	"20091"	
"20092"	"20092"	
"20093"	"20093"	
"20094"	"20094"	
"20095"	"20095"	
"20096"	"20096"	
"106"	"106"	
"20097"	"20097"	
"20098"	"20098"	
"20099"	"20099"	
"20100"	"20100"	
"20101"	"20101"	
"20102"	"20102"	
"20103"	"20103"	
"20104"	"20104"	
"20105"	"20105"	
"20106"	"20106"	
"20107"	"20107"	
"107"	"107"	
"20108"	"20108"	
"20109"	"20109"	
"20110"	"20110"	
"20111"	"20111"	
"105"	"105"	
"20112"	"20112"	
"20113"	"20113"	
"20114"	"20114"	
"20115"	"20115"	
"20116"	"20116"	
"20117"	"20117"	
"20118"	"20118"	
"20119"	"20119"	
"20120"	"20120"	
"20121"	"20121"	
"20122"	"20122"	
"20123"	"20123"	
"20124"	"20124"	
"20125"	"20125"	
"20126"	"20126"	
"20127"	"20127"	
"20128"	"20128"	
"20129"	"20129"	
"20130"	"20130"	
"20131"	"20131"	
"20132"	"20132"	
"20133"	"20133"	
"20134"	"20134"	
"20135"	"20135"	
"20136"	"20136"	
"20137"	"20137"	
"20138"	"20138"	
"20139"	"20139"	
"20140"	"20140"	
"20141"	"20141"	
"20142"	"20142"	
"20143"	"20143"	
"20144"	"20144"	
"20145"	"20145"	
"20146"	"20146"	
"20147"	"20147"	
"20148"	"20148"	
"20149"	"20149"	
"20150"	"20150"	
"20151"	"20151"	
"20152"	"20152"	
"20153"	"20153"	
"20154"	"20154"	
"20155"	"20155"	
"20156"	"20156"	
"20157"	"20157"	
"20158"	"20158"	
"20159"	"20159"	
"20160"	"20160"	
"20161"	"20161"	
"20162"	"20162"	
"20163"	"20163"	
"20164"	"20164"	
"20165"	"20165"	
"20166"	"20166"	
"20167"	"20167"	
"400"	"400"	
"401"	"401"	
"20168"	"20168"	
"10500"	"10500"	
"10501"	"10501"	
"43921"	"43921"	
"10600"	"10600"	
"10601"	"10601"	
"20170"	"20170"	
"10602"	"10602"	
"20171"	"20171"	
"10603"	"10603"	
"20172"	"20172"	
"6340"	"6340"	
"6341"	"6341"	
"20173"	"20173"	
"20174"	"20174"	
"20175"	"20175"	
"20176"	"20176"	
"20177"	"20177"	
"6342"	"6342"	
"20178"	"20178"	
"6343"	"6343"	
"23282"	"23282"	
"23285"	"23285"	
"20179"	"20179"	
"20180"	"20180"	
"20181"	"20181"	
"10800"	"10800"	
"10801"	"10801"	
"20182"	"20182"	
"10900"	"10900"	
"10901"	"10901"	
"20183"	"20183"	
"18100"	"18100"	
"18101"	"18101"	
"20184"	"20184"	
"20185"	"20185"	
"20186"	"20186"	
"18102"	"18102"	
"20187"	"20187"	
"600"	"600"	
"603"	"603"	
"20188"	"20188"	
"606"	"606"	
"20189"	"20189"	
"20190"	"20190"	
"20191"	"20191"	
"607"	"607"	
"20192"	"20192"	
"11100"	"11100"	
"11111"	"11111"	
"11300"	"11300"	
"11301"	"11301"	
"20195"	"20195"	
"900"	"900"	
"904"	"904"	
"23843"	"23843"	
"901"	"901"	
"20196"	"20196"	
"20197"	"20197"	
"902"	"902"	
"20198"	"20198"	
"20199"	"20199"	
"20200"	"20200"	
"3800"	"3800"	
"6306"	"6306"	
"20201"	"20201"	
"3803"	"3803"	
